name,latitude,longitude,street_address,category
Fresco Kitchen and Grill,43.80148283,-111.8098587,"1181 S Yellowstone Hwy, Rexburg, ID 83440",Italian
G's Dairy Delights,43.81315149,-111.8042367,"600 Handcart Ln, Rexburg, ID 83440",Desserts
Red Rabbit Grill,43.82512683,-111.7885005,"155 W Main St #8, Rexburg, ID 83440",Diner
Kindgom of Pho,43.82664595,-111.7915933,"250 W Main St, Rexburg, ID 83440",Vietnamese
Kainoa'a Hawaiian,43.82341624,-111.7892528,"115 S 2nd St W, Rexburg, ID 83440",Hawaiian
Taqueria El Mulito,43.81802336,-111.7927954,"312 W 4th S, Rexburg, ID 83440",Mexican
Taqueria El Rancho,43.81799579,-111.7928,"312 W 4th S, Rexburg, ID 83440",Mexican
Da Pineapple Grill,43.81823678,-111.7888069,"383 S 2nd St W, Rexburg, ID 83440",Hawaiian
Kebab Hut,43.82063902,-111.7898308,"248 S 2nd St W, Rexburg, ID 83440",Fusion
Righteous Slice,43.82168995,-111.7893077,"175 W. 200 S#100, Rexburg, ID 83440",Pizza
Jb's Restraunt,43.82637363,-111.7883414,"150 W Main St, Rexburg, ID 83440",Diner
K-Lani's,43.82435002,-111.7842476,"12 W 1st S, Rexburg, ID 83440",Desserts
Millhollow Restaurant,43.82467333,-111.7813811,"48 S 1st E, Rexburg, ID 83440",Sandwiches
The Pit Barbecue & Catering,43.8251897,-111.7825594,"32 College Ave, Rexburg, ID 83440",Barbeque
Original Thai,43.82588251,-111.7833804,"10 E Main St, Rexburg, ID 83440",Thai
Guerrero's Mexican Food,43.82588145,-111.7846962,"27 W Main St, Rexburg, ID 83440",Mexican
Boba Luv,43.83000938,-111.7774147,"220 E 2nd N Ste 4, Rexburg, ID 83440",Beverage
June's Place,43.83162307,-111.7787177,"259 N 2nd E St ste b, Rexburg, ID 83440",Coffee
Tony's Tacos Al Pastor,43.83201619,-111.7786934,"279 N 2nd E, Rexburg, ID 83440",Mexican
Tacos Tepito,43.83342961,-111.7771094,"348 N 2nd E, Rexburg, ID 83440",Mexican
The Hickory,43.83635766,-111.7787914,"485 N 2nd E, Rexburg, ID 83440",Barbeque
Mandarin Restraunt,43.84005962,-111.7772793,"222 E 7th N, Rexburg, ID 83440",Chinese
El Rancho Taqueria,43.84111737,-111.7785411,"727 N 2nd E, Rexburg, ID 83440",Mexican
Taqueria El Pollo Loco Jr,43.85244334,-111.7754851,"Taco truck, 275 Stationery Pl, Rexburg, ID 83440",Mexican
New Fong's,43.81849913,-111.7899485,"352 S 2nd St W, Rexburg, ID 83440",Chinese
Paradis Donuts & Gelato,43.82554889,-111.7839822,"16 S Center St, Rexburg, ID 83440",Desserts
Sodavine,43.82492579,-111.7899276,"50 S 2nd St W, Rexburg, ID 83440",Beverage
